0.17453292519943j	(-1.253068221026e-06-14.219214586872j)
0.5235987755983j	(-6.3876180767428e-08-5.0371589375892j)
0.87266462599716j	(6.9712881827827e-09-3.2487270119579j)
1.221730476396j	(1.9863979517376e-08-2.5824441719661j)
1.5707963267949j	(1.5606563112869e-08-2.1914704146067j)
1.9198621771938j	(1.7554367409898e-08-1.9676017531445j)
2.2689280275926j	(9.8259460554973e-09-1.7865229140171j)
2.6179938779915j	(1.3594096508141e-08-1.6752741587681j)
2.9670597283904j	(6.7787121588694e-09-1.5734030312145j)
3.3161255787892j	(7.5718943807716e-09-1.4818942853153j)
3.6651914291881j	(1.044164104008e-08-1.4241869719837j)
4.014257279587j	(4.965511853477e-09-1.3423478485813j)
4.3633231299858j	(8.0764502313573e-09-1.2985700035134j)
4.7123889803847j	(8.447667936317e-10-1.244321814104j)
5.0614548307836j	(5.0298459577922e-09-1.1912604226085j)
5.4105206811824j	(7.9240928674582e-09-1.1491461684469j)
5.7595865315813j	(7.9267683333451e-09-1.1162724089403j)
6.1086523819802j	(6.6099098477508e-09-1.0800140912115j)
6.457718232379j	(4.3057514418192e-09-1.0446022271352j)
6.8067840827779j	(2.7018399688639e-09-1.0087868916388j)
7.1558499331768j	(6.423183347328e-09-0.96238314116343j)
7.5049157835756j	(4.8653036869049e-09-0.94763212374932j)
7.8539816339745j	(4.0938516161761e-09-0.91072721614608j)
8.2030474843733j	(4.5768012055711e-09-0.89414434379079j)
8.5521133347722j	(4.387541608102e-09-0.866042371548j)
8.9011791851711j	(5.2587607498921e-09-0.83247751298679j)
9.2502450355699j	(2.6699464578735e-09-0.80892559159876j)
9.5993108859688j	(3.8572806683862e-09-0.78094688113133j)
9.9483767363677j	(3.3601419597323e-09-0.77574228044758j)
10.297442586767j	(5.4372454846156e-09-0.74833975662677j)
10.646508437165j	(6.748653287447e-09-0.7370123897343j)
10.995574287564j	(4.3617421192893e-09-0.71155578947845j)
11.344640137963j	(3.5006810964783e-09-0.69864579612204j)
11.693705988362j	(4.2052793734133e-09-0.6764384533081j)
12.042771838761j	(5.9554388059739e-09-0.65762593820686j)
12.39183768916j	(5.9406017726374e-09-0.65532956332411j)
12.740903539559j	(6.2498138015209e-10-0.62891639839856j)
13.089969389957j	(4.7992905485207e-09-0.61122612308113j)
13.439035240356j	(3.5568650790937e-09-0.6037589882083j)
13.788101090755j	(5.0710740685834e-09-0.59127653719221j)
14.137166941154j	(2.236786305978e-09-0.58391030913494j)
14.486232791553j	(4.5936486285394e-09-0.5629409284963j)
14.835298641952j	(3.1200398657222e-09-0.55615117327735j)
15.184364492351j	(4.6556532508507e-09-0.55433808217519j)
15.53343034275j	(9.552009804164e-10-0.54280508932131j)
15.882496193148j	(3.3073004498569e-09-0.53251336662287j)
16.231562043547j	(4.0956289825964e-09-0.51227967037882j)
