0.00000000e+00+1.57079633e-01j	-2.52021387e-06-1.57010086e+01j
0.00000000e+00+4.71238898e-01j	-3.21991321e-08-5.54665479e+00j
0.00000000e+00+7.85398163e-01j	-5.29631720e-08-3.53963046e+00j
0.00000000e+00+1.09955743e+00j	4.47948995e-06-2.63427883e+00j
0.00000000e+00+1.41371669e+00j	-2.40520358e-08-2.33501527e+00j
0.00000000e+00+1.72787596e+00j	3.54306604e-08-2.07775332e+00j
0.00000000e+00+2.04203522e+00j	-9.34118167e-08-1.91412217e+00j
0.00000000e+00+2.35619449e+00j	4.10380710e-08-1.76003595e+00j
0.00000000e+00+2.67035376e+00j	8.50093886e-09-1.65916023e+00j
0.00000000e+00+2.98451302e+00j	8.27978276e-09-1.56861396e+00j
0.00000000e+00+3.29867229e+00j	1.47074399e-08-1.48626568e+00j
0.00000000e+00+3.61283155e+00j	-2.19751607e-06-1.41212834e+00j
0.00000000e+00+3.92699082e+00j	3.40816156e-07-1.35403953e+00j
0.00000000e+00+4.24115008e+00j	-9.96484257e-08-1.31487788e+00j
0.00000000e+00+4.55530935e+00j	4.47883315e-08-1.26956819e+00j
0.00000000e+00+4.86946861e+00j	-2.08921621e-08-1.21942435e+00j
0.00000000e+00+5.18362788e+00j	2.51054023e-08-1.17519643e+00j
0.00000000e+00+5.49778714e+00j	-2.11332372e-08-1.14010412e+00j
0.00000000e+00+5.81194641e+00j	1.84976115e-07-1.10943581e+00j
0.00000000e+00+6.12610567e+00j	5.62495210e-09-1.07826161e+00j
0.00000000e+00+6.44026494e+00j	4.15358324e-09-1.04638436e+00j
0.00000000e+00+6.75442421e+00j	3.63368293e-09-1.01420379e+00j
0.00000000e+00+7.06858347e+00j	-5.71548532e-09-9.79442619e-01j
0.00000000e+00+7.38274274e+00j	1.79070915e-08-9.61305832e-01j
0.00000000e+00+7.69690200e+00j	-2.11754258e-09-9.28268567e-01j
0.00000000e+00+8.01106127e+00j	1.87370193e-06-9.77542624e-01j
0.00000000e+00+8.32522053e+00j	-1.72477786e-09-8.82870300e-01j
0.00000000e+00+8.63937980e+00j	4.29420094e-08-8.63359178e-01j
0.00000000e+00+8.95353906e+00j	2.65735690e-09-8.29285490e-01j
0.00000000e+00+9.26769833e+00j	2.85291020e-09-8.07679747e-01j
0.00000000e+00+9.58185759e+00j	4.33885276e-09-7.82766241e-01j
0.00000000e+00+9.89601686e+00j	-4.11489597e-09-7.82877063e-01j
0.00000000e+00+1.02101761e+01j	7.92629546e-09-7.54403046e-01j
0.00000000e+00+1.05243354e+01j	-1.18432752e-07-7.25925184e-01j
0.00000000e+00+1.08384947e+01j	1.62637199e-08-7.20905781e-01j
0.00000000e+00+1.11526539e+01j	-2.87132418e-08-7.02459955e-01j
0.00000000e+00+1.14668132e+01j	4.18123715e-08-6.88428503e-01j
0.00000000e+00+1.17809725e+01j	-8.94551430e-09-6.72001441e-01j
0.00000000e+00+1.20951317e+01j	1.24248821e-07-6.53682638e-01j
0.00000000e+00+1.24092910e+01j	-3.25833477e-07-6.54729077e-01j
0.00000000e+00+1.27234502e+01j	-4.76419785e-08-6.29427657e-01j
0.00000000e+00+1.30376095e+01j	2.80203888e-07-6.16861095e-01j
0.00000000e+00+1.33517688e+01j	-1.70696861e-08-6.07128250e-01j
0.00000000e+00+1.36659280e+01j	1.12139052e-08-5.95466889e-01j
0.00000000e+00+1.39800873e+01j	-1.10233300e-08-5.85464148e-01j
0.00000000e+00+1.42942466e+01j	4.71984697e-07-5.58612914e-01j
0.00000000e+00+1.46084058e+01j	-1.98687156e-08-5.60335575e-01j
0.00000000e+00+1.49225651e+01j	3.43520143e-08-5.55401611e-01j
0.00000000e+00+1.52367244e+01j	-2.10534193e-08-5.53326220e-01j
0.00000000e+00+1.55508836e+01j	4.89885574e-09-5.42142068e-01j
0.00000000e+00+1.58650429e+01j	1.04784404e-08-5.32731144e-01j
0.00000000e+00+1.61792022e+01j	-3.63369958e-08-5.11820810e-01j
0.00000000e+00+1.64933614e+01j	1.32235302e-08-5.07391922e-01j
0.00000000e+00+1.68075207e+01j	-2.23072403e-08-4.99640288e-01j
0.00000000e+00+1.71216800e+01j	1.02544583e-07-4.90505836e-01j
0.00000000e+00+1.74358392e+01j	-4.66436868e-08-4.83103995e-01j
0.00000000e+00+1.77499985e+01j	6.67108719e-08-4.75599364e-01j
0.00000000e+00+1.80641578e+01j	-1.07206854e-09-4.68026068e-01j
0.00000000e+00+1.83783170e+01j	6.23713328e-09-4.60263761e-01j
0.00000000e+00+1.86924763e+01j	-4.54758888e-08-4.46932192e-01j
0.00000000e+00+1.90066356e+01j	-1.73391993e-08-4.50746831e-01j
0.00000000e+00+1.93207948e+01j	2.58362611e-06-4.38795457e-01j
0.00000000e+00+1.96349541e+01j	-6.45972611e-08-4.37130322e-01j
0.00000000e+00+1.99491134e+01j	8.09500328e-08-4.30591411e-01j
0.00000000e+00+2.02632726e+01j	-1.12148089e-06-4.24713322e-01j
0.00000000e+00+2.05774319e+01j	2.19274989e-06-4.16061181e-01j
0.00000000e+00+2.08915911e+01j	-2.20725728e-06-4.07413116e-01j
0.00000000e+00+2.12057504e+01j	1.66385902e-05-3.93424029e-01j
0.00000000e+00+2.15199097e+01j	-3.67994396e-05-3.97747976e-01j
0.00000000e+00+2.18340689e+01j	3.48503722e-06-3.94431840e-01j
0.00000000e+00+2.21482282e+01j	1.85041451e-06-3.82241333e-01j
0.00000000e+00+2.24623875e+01j	-2.62492755e-04-3.88115573e-01j
0.00000000e+00+2.27765467e+01j	5.58595822e-07-3.72912416e-01j
0.00000000e+00+2.30907060e+01j	-1.75184327e-07-3.69412730e-01j
0.00000000e+00+2.34048653e+01j	2.23994003e-07-3.67121586e-01j
0.00000000e+00+2.37190245e+01j	-9.28228193e-07-3.68413206e-01j
0.00000000e+00+2.40331838e+01j	1.86028739e-06-3.67086303e-01j
0.00000000e+00+2.43473431e+01j	-4.59479584e-07-3.55215779e-01j
0.00000000e+00+2.46615023e+01j	1.31902761e-06-3.45743302e-01j
0.00000000e+00+2.49756616e+01j	-4.56233341e-08-3.47833516e-01j
0.00000000e+00+2.52898209e+01j	-1.90371318e-08-3.43191099e-01j
0.00000000e+00+2.56039801e+01j	1.97367199e-05-3.61604939e-01j
0.00000000e+00+2.59181394e+01j	-1.13639588e-07-3.32995758e-01j
0.00000000e+00+2.62322987e+01j	1.67682555e-06-3.26511867e-01j
0.00000000e+00+2.65464579e+01j	-7.68837467e-08-3.28543127e-01j
0.00000000e+00+2.68606172e+01j	6.62682289e-08-3.25970834e-01j
0.00000000e+00+2.71747765e+01j	-6.77719870e-06-2.89003622e-01j
0.00000000e+00+2.74889357e+01j	7.77496419e-08-3.14732050e-01j
0.00000000e+00+2.78030950e+01j	-7.74463869e-05-2.76335831e-01j
0.00000000e+00+2.81172542e+01j	1.06022060e-08-3.08403729e-01j
0.00000000e+00+2.84314135e+01j	1.70163544e-08-3.05429080e-01j
0.00000000e+00+2.87455728e+01j	-8.03234977e-04-2.16838964e-01j
0.00000000e+00+2.90597320e+01j	8.50711312e-07-3.02999306e-01j
0.00000000e+00+2.93738913e+01j	-4.37443450e-06-3.11245769e-01j
0.00000000e+00+2.96880506e+01j	7.29837912e-08-2.98959293e-01j
0.00000000e+00+3.00022098e+01j	-1.45644227e-08-2.96414151e-01j
0.00000000e+00+3.03163691e+01j	2.39222984e-07-3.18251348e-01j
0.00000000e+00+3.06305284e+01j	-2.64498783e-09-2.80862346e-01j
0.00000000e+00+3.09446876e+01j	4.60548280e-09-2.80811467e-01j
0.00000000e+00+3.12588469e+01j	-3.42009237e-09-2.76883483e-01j
